M	NMSEX	NMSEY	NMSEAV	BERX	BERY	BERAV
0	-12.9198	-12.8885	-12.9041	0.00723457	0.00720406	0.00721931	
1	-12.9903	-12.9566	-12.9734	0.00684759	0.00682661	0.0068371	
2	-13.0586	-13.0289	-13.0438	0.00643769	0.0064892	0.00646345	
3	-13.1185	-13.0875	-13.1029	0.0061613	0.00628529	0.00622329	
4	-13.1669	-13.1331	-13.15	0.00594021	0.00599362	0.00596691	
5	-13.209	-13.18	-13.1945	0.00573627	0.00576107	0.00574867	
6	-13.2563	-13.2263	-13.2413	0.00549417	0.00554377	0.00551897	
7	-13.2994	-13.2738	-13.2866	0.00535126	0.00544474	0.005398	
8	-13.3487	-13.3211	-13.3349	0.00516064	0.00524458	0.00520261	
9	-13.3944	-13.3715	-13.3829	0.00499099	0.00505205	0.00502152	
10	-13.444	-13.425	-13.4345	0.0048366	0.00479463	0.00481562	
11	-13.4942	-13.4751	-13.4846	0.00462687	0.00461161	0.00461924	
12	-13.5459	-13.5267	-13.5363	0.00444003	0.00444193	0.00444098	
13	-13.5991	-13.5762	-13.5877	0.00430278	0.00427034	0.00428656	
14	-13.644	-13.6221	-13.6331	0.00410828	0.00407202	0.00409015	
15	-13.6869	-13.6646	-13.6758	0.00396529	0.00396147	0.00396338	
16	-13.73	-13.7071	-13.7185	0.00378984	0.003849	0.00381942	
17	-13.777	-13.7535	-13.7652	0.00373271	0.00373844	0.00373557	
18	-13.8197	-13.7952	-13.8074	0.00358206	0.00360496	0.00359351	
19	-13.8647	-13.8428	-13.8537	0.00346194	0.00343522	0.00344858	
20	-13.9102	-13.8914	-13.9008	0.00332081	0.00330173	0.00331127
